what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1335442587391
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1335442587391
started,bundle,com.collabnet.subversion.merge,3.0.5,"com.collabnet.subversion.merge",1335442587391
started,bundle,org.tigris.subversion.clientadapter,1.8.0,"org.tigris.subversion.clientadapter",1335442587391
started,bundle,org.tigris.subversion.subclipse.core,1.8.4,"org.tigris.subversion.subclipse.core",1335442587391
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1335442587391
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1335442587391
started,bundle,org.tigris.subversion.subclipse.ui,1.8.4,"org.tigris.subversion.subclipse.ui",1335442587407
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1335442587407
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1335442587407
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1335442587407
started,bundle,org.eclipse.egit.core,2.0.0.201204230554,"org.eclipse.egit.core",1335442587407
started,bundle,org.eclipse.egit.ui,2.0.0.201204230554,"org.eclipse.egit.ui",1335442587438
started,bundle,org.eclipse.jgit,2.0.0.201204201612,"org.eclipse.jgit",1335442587469
started,bundle,org.eclipse.mylyn.bugzilla.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.bugzilla.core",1335442587469
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.bugzilla.ui",1335442587469
started,bundle,org.eclipse.mylyn.commons.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.core",1335442587469
started,bundle,org.eclipse.mylyn.commons.net,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.net",1335442587469
started,bundle,org.eclipse.mylyn.commons.notifications.core,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.core",1335442587469
started,bundle,org.eclipse.mylyn.commons.notifications.feed,0.9.0.v20120319-0200,"org.eclipse.mylyn.commons.notifications.feed",1335442587469
started,bundle,org.eclipse.mylyn.commons.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.ui",1335442587485
started,bundle,org.eclipse.mylyn.commons.workbench,3.7.0.v20120319-0200,"org.eclipse.mylyn.commons.workbench",1335442587485
started,bundle,org.eclipse.mylyn.context.core,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.core",1335442587485
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.context.tasks.ui",1335442587485
started,bundle,org.eclipse.mylyn.monitor.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.monitor.ui",1335442587485
started,bundle,org.eclipse.mylyn.tasks.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.tasks.ui",1335442587501
started,bundle,org.eclipse.mylyn.team.ui,3.7.0.v20120319-0200,"org.eclipse.mylyn.team.ui",1335442587501
os,sysinfo,,,"win32",1335442587501
arch,sysinfo,,,"x86",1335442587501
ws,sysinfo,,,"win32",1335442587501
locale,sysinfo,,,"zh_CN",1335442587501
processors,sysinfo,,,"2",1335442587501
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1335442587501
java.runtime.version,sysinfo,,,"1.6.0_20-b02",1335442587501
java.specification.name,sysinfo,,,"Java Platform API Specification",1335442587501
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335442587501
java.specification.version,sysinfo,,,"1.6",1335442587501
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1335442587501
java.version,sysinfo,,,"1.6.0_20",1335442587501
java.vm.info,sysinfo,,,"mixed mode",1335442587501
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1335442587501
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335442587501
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335442587501
java.vm.specification.version,sysinfo,,,"1.0",1335442587501
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1335442587501
java.vm.version,sysinfo,,,"16.3-b01",1335442587501
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1335442587516
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1335442588390
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1335442588546
started,bundle,com.objectaid.uml.cls,1.0.7,"com.objectaid.uml.cls",1335442588671
started,bundle,org.eclipse.gef,3.7.2.v20111106-2020,"org.eclipse.gef",1335442588671
started,bundle,com.objectaid.uml.seq,1.0.7,"com.objectaid.uml.seq",1335442588686
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1335442590340
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1335442590792
error,log,,,"Unable to update index for dev-nexus-thirdparty|http://localhost:8081/nexus/content/repositories/thirdparty/",1335442590886
error,log,,,"Unable to update index for dev-nexus-snapshots|http://localhost:8081/nexus/content/repositories/snapshots/",1335442590979
